Collection name: Vector,number of operations: 10000,unit: ms
Add time, Find time, Remove time
0.125532,40.924804,29.436994
0.187904,43.161100,29.628057
0.244749,39.270774,30.627580
0.132243,41.088628,34.858976
0.188298,53.142124,35.141226
0.179614,48.532552,41.740765
0.151981,45.681226,30.603500
0.188694,47.720932,30.747981
0.161851,46.814177,29.467390
0.140138,39.624081,36.502347
0.187114,47.331308,37.638061
0.155534,52.607623,30.589288
0.123164,42.295794,37.598190
0.182378,42.411457,34.011828
0.185535,40.001468,30.530864
0.126322,55.065378,34.210785
0.187510,44.946584,29.756747
0.155929,39.358015,29.783591
0.154744,49.868013,30.449545
0.187904,54.020458,30.274668
0.155139,47.818437,44.455901
0.149218,39.817512,33.778921
0.186325,39.573553,29.580685
0.149612,46.865495,34.262893
0.126717,39.652898,29.451995
0.138560,39.319724,29.417651
0.213169,47.354204,34.652122
0.256987,46.042033,52.510908
0.151192,55.740411,43.667177
0.125928,41.112313,31.936988
0.132638,40.803219,37.346336
0.126322,56.467158,31.782638
0.185536,48.242011,29.781617
0.206852,42.551991,30.464940
0.123558,39.858171,31.327878
0.224222,60.818559,30.225323
0.131848,41.730897,29.633583
0.152771,39.971467,29.515551
0.146454,44.308657,30.895225
0.157902,51.632575,39.432624
0.133823,40.163318,35.817049
0.133033,49.314170,43.661257
0.146850,40.577813,49.349698
0.144481,52.780133,30.745218
0.124348,64.995872,30.807194
0.168956,41.043231,39.808038
0.157507,71.231842,74.698593
0.275540,52.338794,38.832989
0.144086,50.763321,38.355334
0.236064,39.907122,31.858036
0.139744,53.221865,31.903433
0.129085,49.140872,40.252928
0.157113,49.652871,30.787851
0.145271,39.810407,32.689788
0.196983,40.151871,29.692796
0.135797,43.634018,29.677402
0.159087,41.580100,30.807195
0.155534,40.230032,33.023752
0.149612,40.148712,34.932400
0.204089,51.704815,45.066195
0.172509,50.248954,30.915752
0.125533,39.574736,30.270720
0.155139,43.024514,44.849079
0.163429,40.077262,33.833793
0.136191,45.149094,33.198235
0.135797,48.453996,29.547921
