Collection name: Map,number of operations: 10000,unit: ms
Add time, Find time, Remove time
1.282169,0.003553,0.547132
1.404544,0.003947,0.846358
1.299539,0.003159,0.671086
1.342962,0.003158,1.198086
1.335856,0.003158,0.475287
1.208744,0.003158,0.900440
1.415202,0.003158,0.616215
1.265984,0.003948,0.754775
1.160979,0.003158,0.963995
1.320461,0.003159,0.568449
1.262431,0.002763,0.783987
1.326776,0.003158,0.847542
1.435335,0.003158,0.547922
1.327171,0.003158,0.862938
1.175191,0.003158,0.661217
2.064577,0.003158,0.614241
1.362699,0.003158,0.560949
1.050841,0.003158,0.512788
1.416386,0.003947,1.063474
1.388753,0.003158,0.760696
2.481835,0.003553,1.008208
1.170848,0.003552,0.476076
1.524549,0.003158,1.316908
1.485864,0.003158,0.718063
1.392701,0.003947,1.689952
1.459810,0.003158,0.601214
1.242299,0.003552,1.647714
1.060316,0.003158,1.033078
1.232430,0.003158,0.635953
1.176374,0.003158,0.825830
1.248220,0.003158,0.480024
2.107999,0.003553,1.215850
1.440072,0.003158,0.917414
1.361910,0.003158,0.516342
1.202034,0.003947,0.660033
1.184665,0.003158,0.653716
1.703770,0.003158,0.552659
1.298749,0.003158,0.851490
1.322830,0.003947,0.828199
1.174401,0.003948,0.855437
1.157820,0.003158,0.969917
1.385991,0.003158,1.059922
1.303091,0.003552,0.582265
1.425861,0.003948,0.694377
1.066633,0.003158,0.561738
2.278930,0.004342,0.956101
1.558893,0.003947,0.722010
2.808298,0.003158,1.136899
1.323619,0.003158,0.473708
2.191294,0.003947,0.956890
1.278222,0.003947,0.733063
1.477574,0.007106,0.950179
1.274274,0.003158,0.510025
1.182296,0.003158,2.246164
1.328750,0.003158,0.913072
1.306249,0.003553,0.537264
1.416782,0.003947,0.771749
1.163742,0.003158,1.202823
2.153397,0.003158,0.671875
1.207560,0.004737,0.804514
1.342172,0.003158,1.127425
1.219403,0.003158,0.573186
1.456652,0.004737,1.902727
1.209929,0.003158,0.774908
1.202823,0.003553,0.521078
1.366647,0.003553,1.015709
1.372963,0.003158,0.594109
1.142820,0.003158,2.089446
1.404149,0.007106,0.812015
1.324408,0.003158,0.536079
1.512312,0.003158,1.288091
1.085581,0.003158,0.469365
1.138083,0.003158,2.133264
1.057552,0.003158,0.873991
1.269537,0.003553,0.527789
1.466521,0.003158,0.925310
1.376122,0.003947,0.952943
1.990363,0.003158,1.113608
1.287695,0.003158,0.482392
1.104924,0.003158,1.824170
1.549814,0.003158,0.903203
1.229667,0.003552,0.488709
1.184664,0.004342,0.860964
1.117160,0.003158,1.241114
2.229585,0.003553,1.254141
1.237562,0.003158,0.527790
1.155847,0.003158,0.530947
1.309407,0.003158,1.443625
1.425466,0.003158,0.960837
1.357568,0.004738,0.541606
1.403754,0.003948,0.844385
1.377700,0.002763,1.168479
1.634686,0.003158,0.563317
1.328356,0.003948,0.697929
1.414807,0.003158,1.159795
1.427439,0.003158,0.517526
1.163347,0.003158,2.070498
1.212298,0.003553,0.678981
1.356384,0.003553,0.488708
2.904619,0.003158,0.924520
1.256115,0.003158,0.577529
1.166506,0.003158,2.253665
1.072948,0.003158,0.624110
1.406517,0.003158,0.493840
1.220587,0.003553,1.102555
1.213876,0.003158,0.458707
1.228482,0.003158,1.451915
1.523366,0.003158,0.761090
1.355594,0.002763,0.480419
1.499680,0.003158,0.868464
1.243483,0.003553,0.648191
2.283666,0.003158,0.577529
1.275853,0.003158,0.842015
1.138477,0.003158,0.492262
1.529682,0.004343,0.849121
1.421913,0.003158,0.916625
1.854961,0.003553,1.335856
1.849040,0.003158,0.573976
1.671399,0.004342,1.034657
1.383622,0.004342,0.684902
2.293535,0.003158,1.012155
1.110056,0.003158,0.499367
2.031023,0.003552,1.485864
1.291643,0.003158,1.037420
1.360725,0.003158,0.487920
1.333092,0.003158,0.784381
1.204797,0.003158,0.525421
1.260852,0.003948,1.194138
1.097818,0.003553,0.778460
1.177164,0.003158,0.463839
1.462573,0.003948,0.674245
1.232824,0.003158,0.850700
1.944176,0.003158,1.188217
1.200060,0.003158,0.482787
1.051236,0.003158,0.484366
1.820617,0.004342,0.897281
1.475994,0.003158,0.630821
1.665083,0.003158,0.981760
1.400201,0.003553,0.555423
1.764957,0.004343,0.847937
1.263615,0.003947,0.733852
1.053211,0.003158,0.928468
1.207165,0.003158,0.606346
1.222561,0.003553,1.660346
1.082818,0.003158,0.741748
1.324803,0.003553,0.543579
2.445912,0.003158,1.016498
1.344935,0.003158,0.550686
1.794563,0.003553,0.913071
1.287301,0.003947,0.681744
1.089528,0.003158,1.191376
1.289670,0.003158,0.495419
1.233614,0.005921,1.413228
1.285328,0.003158,0.998734
1.285722,0.003553,0.528579
1.742060,0.003158,1.050052
1.261247,0.003159,1.153873
2.635000,0.003552,0.793856
1.414412,0.003552,0.540027
1.226903,0.003158,1.245851
1.531655,0.003158,0.787145
1.466125,0.003158,1.591263
1.378489,0.003158,0.697930
1.102949,0.003158,0.628453
1.743245,0.003947,0.860174
1.180322,0.003948,0.631215
1.942992,0.003158,1.090317
1.344541,0.003948,0.640690
2.378014,0.003158,1.093870
1.097028,0.003553,0.863727
1.376121,0.003158,0.684113
1.359542,0.003158,0.634373
1.067422,0.003158,1.032288
1.843513,0.003158,0.717667
1.344146,0.003158,0.501736
1.234009,0.003948,0.981365
1.376122,0.003553,0.572002
1.294801,0.003552,0.928468
1.231640,0.003158,0.584239
1.376516,0.003553,0.587398
1.454678,0.003553,0.954521
1.388359,0.003158,0.666349
1.483495,0.003158,1.317302
1.251378,0.003158,0.892939
1.197296,0.003158,0.481998
1.455073,0.004343,0.778460
1.226904,0.003158,0.812014
1.757850,0.003158,1.130583
1.274668,0.003158,0.497788
1.185849,0.003158,1.611790
1.385201,0.005132,0.522658
1.556525,0.003947,0.768986
2.949621,0.003158,0.785171
0.962022,0.003159,0.604373
1.448757,0.003553,1.946544
1.414807,0.003158,0.914256
0.999129,0.007895,1.412439
1.391122,0.003158,0.443311
1.052026,0.003158,0.635163
1.421123,0.003158,0.680560
1.377700,0.003158,0.512394
2.708819,0.003158,0.995971
0.983733,0.003158,0.360807
1.452704,0.003553,0.903598
1.332698,0.003158,0.758327
1.245062,0.003158,0.364755
1.453888,0.003947,0.820698
1.547445,0.003159,0.971101
1.445993,0.003158,0.654111
1.356383,0.003158,0.482393
0.992417,0.003947,1.452310
1.442441,0.003158,0.769776
1.524549,0.028028,1.507575
1.155847,0.003158,0.585424
1.055185,0.003158,0.671087
1.153478,0.003158,0.460287
1.289669,0.003948,0.678981
2.663422,0.003158,1.039394
1.187428,0.003158,0.617794
1.350857,0.003553,1.200060
1.278617,0.002763,0.843595
1.390728,0.003553,1.076895
1.770483,0.003553,0.454365
1.145978,0.003553,0.812409
1.331514,0.003158,0.680561
0.943863,0.003158,1.279011
1.361910,0.003158,0.702667
1.259668,0.003553,1.389148
1.495338,0.004342,0.554632
1.711665,0.003947,1.155452
0.987681,0.003158,0.738984
2.514994,0.003158,0.601214
1.239930,0.003552,0.749643
1.023604,0.003553,0.485550
1.194533,0.003947,0.742537
1.384806,0.003553,0.849516
2.374460,0.003158,0.731878
1.423097,0.003158,0.512394
2.072472,0.003158,1.425071
1.214271,0.003553,0.558975
1.411255,0.003553,0.873596
2.108394,0.008685,0.833726
0.964390,0.003158,0.381729
1.497707,0.003158,0.978206
0.945047,0.003159,0.850700
1.501259,0.003553,0.996760
1.333882,0.003158,0.516342
0.947021,0.003553,1.123083
1.373358,0.003158,0.755169
1.218219,0.003158,0.578319
1.383622,0.003947,0.602793
1.254931,0.003158,2.056287
1.159794,0.003158,0.914650
1.208744,0.006316,0.434233
1.387175,0.004342,0.868069
1.494943,0.003158,0.970707
1.673373,0.003158,0.674639
1.340988,0.003158,0.577134
1.519023,0.003158,1.024393
1.119924,0.003948,0.543185
2.393014,0.003553,0.915046
0.919783,0.003158,0.461865
1.095055,0.003158,1.325593
1.498101,0.003158,1.016498
1.131767,0.003948,0.726747
1.431782,0.003158,0.468576
1.043341,0.003158,0.481998
1.022419,0.003158,1.791011
1.504417,0.003158,0.705430
1.185060,0.003158,0.555423
1.080054,0.003158,0.377782
1.109661,0.003158,0.439364
1.201639,0.003158,1.507180
1.448756,0.003158,0.556607
1.432966,0.003553,0.756748
1.320066,0.003553,0.532132
0.883465,0.003553,0.368308
1.764562,0.003158,0.956101
0.977023,0.003158,0.867280
1.370200,0.003553,2.093393
1.314934,0.003552,0.575161
0.908335,0.002763,0.741352
1.398622,0.003158,1.075317
1.356383,0.003552,0.808857
