Collection name: Set,number of operations: 10000,unit: ms
Add time, Find time, Remove time
0.888992,0.011053,0.533317
0.898466,0.010658,0.469365
1.590869,0.010659,0.481603
0.979391,0.023685,0.732274
0.902019,0.010658,0.451996
0.886228,0.010658,0.450812
1.688374,0.023685,0.493050
0.886228,0.010659,0.444496
1.569552,0.011053,0.734642
0.888991,0.011053,0.471339
0.897282,0.020922,0.456733
1.000313,0.011053,0.587003
0.892150,0.010658,0.467392
0.878728,0.010264,0.447653
0.911887,0.010658,0.454365
0.877544,0.010659,0.495025
0.986891,0.020527,0.643848
0.919783,0.010659,0.465418
0.879913,0.011054,0.455549
0.878728,0.010659,1.065053
0.927678,0.010659,0.472918
0.881096,0.010658,0.454365
0.877149,0.011053,0.695561
0.925704,0.010659,0.455154
0.893729,0.010659,0.448443
0.896886,0.011053,0.621347
0.885833,0.010659,0.451206
0.881886,0.010659,0.475682
0.949389,0.010658,0.499762
0.888992,0.010263,0.451996
0.875570,0.010659,0.447654
0.932810,0.011053,1.042157
1.688374,0.023685,1.043736
1.847855,0.010659,0.709378
1.606659,0.022896,0.814383
1.193349,0.012238,0.983733
0.913466,0.010658,0.455943
0.919783,0.010264,0.447259
1.742850,0.011053,0.507657
0.883070,0.011448,0.446470
0.874781,0.011448,0.831358
0.911887,0.011447,0.455549
1.044920,0.023685,0.495814
0.918204,0.011448,0.448049
0.879122,0.011053,0.448048
0.910703,0.010659,0.451997
0.915440,0.011053,0.455155
0.874780,0.011054,0.461076
0.872017,0.011053,0.481208
1.059526,0.011054,0.473708
0.875569,0.010659,0.451996
0.887413,0.010659,0.475682
0.881887,0.010658,0.453180
0.940310,0.010658,0.448443
0.881097,0.010659,0.534106
0.911098,0.070661,0.466602
0.896492,0.010659,0.453180
0.877544,0.011053,0.677008
0.900440,0.010264,0.451207
0.914651,0.010659,0.451207
1.224140,0.010658,0.501736
0.877544,0.010658,0.486340
0.888202,0.010658,0.734247
1.415202,0.010659,0.488314
0.869254,0.010658,0.509630
0.907545,0.010659,0.457918
0.871622,0.010659,0.499762
1.681268,0.010658,0.570028
0.906755,0.010658,0.538448
0.877939,0.010658,0.706220
1.877067,0.011053,0.525026
0.877544,0.010659,0.461865
0.887018,0.011054,0.553054
1.012551,0.010659,0.594503
0.939126,0.011053,0.457523
0.957284,0.011448,0.455944
0.873201,0.011053,0.449233
1.522971,0.010659,0.768591
0.907940,0.010658,0.462655
0.895703,0.010659,0.448443
1.025973,0.010658,0.571212
1.040578,0.010659,0.473314
0.891360,0.010264,0.542396
0.983339,0.023686,0.473313
2.068525,0.011053,0.581477
0.921757,0.018554,0.759511
1.613370,0.011053,0.473708
1.325592,0.022895,0.749643
1.687979,0.011448,0.490288
1.148347,0.011053,0.500157
0.882281,0.011053,0.727931
1.828117,0.018159,1.097029
1.579026,0.011053,0.854253
2.042865,0.041055,0.864911
1.951282,0.024080,0.894518
0.926889,0.011053,0.625294
0.940705,0.023291,0.882676
0.916625,0.011053,0.593714
0.893334,0.011053,0.483182
0.881096,0.011053,0.709377
0.890571,0.011053,0.605557
1.592448,0.011053,1.198481
1.981283,0.023291,1.100186
0.929257,0.011053,0.463839
0.914651,0.010658,0.459496
0.898071,0.016185,0.459891
0.911098,0.011448,0.769775
0.917019,0.010659,0.455155
0.873201,0.010659,0.448444
0.866886,0.010658,0.455944
1.658373,0.011053,1.007418
0.893729,0.010658,0.448443
0.891755,0.011054,0.451996
0.887413,0.010658,0.758327
0.948600,0.011053,0.620952
0.906361,0.010658,0.447260
0.892150,0.010263,0.598451
0.930046,0.010658,0.678981
0.899256,0.010659,0.451207
0.878334,0.011053,0.483182
1.179137,0.043028,1.084791
0.988076,0.010658,0.450417
0.872412,0.011053,0.583845
0.898071,0.010658,0.461865
