Collection name: Set,number of operations: 10000,unit: ms
Add time, Find time, Remove time
0.890965,0.011053,0.479630
1.038210,0.011053,0.708983
0.895703,0.010659,0.452786
1.232035,0.010659,0.474892
2.216558,0.018159,0.506078
0.883070,0.011053,0.448839
0.945442,0.011053,0.723194
0.913467,0.011053,0.476471
0.966759,0.010659,0.457918
0.894913,0.011448,0.649770
0.886624,0.010659,0.467392
0.876754,0.010658,0.452391
1.375727,0.011053,0.639111
0.954127,0.011053,0.499761
1.211902,0.011054,0.466602
2.079972,0.011053,0.513973
0.881097,0.011054,0.447654
1.564420,0.024081,0.811224
0.885834,0.010658,0.456733
0.896887,0.014606,0.450811
0.922151,0.010658,0.551870
0.913861,0.010658,0.454365
1.050052,0.010658,0.462260
1.032683,0.011053,0.480813
0.891360,0.010264,0.468181
0.881886,0.011054,0.456339
0.919388,0.010264,0.462654
0.885439,0.010658,0.453181
1.069396,0.023291,0.655691
1.389149,0.010659,0.738589
0.885044,0.011053,0.451602
0.928072,0.010658,0.768986
1.355199,0.010658,0.450022
0.988075,0.011448,0.529763
0.928862,0.023685,0.459497
1.190191,0.010658,0.483182
0.885834,0.010659,0.472524
0.901623,0.011053,0.785171
1.555341,0.010264,0.554633
0.883071,0.010658,0.564107
0.929651,0.010658,0.455549
0.884649,0.010658,0.465812
0.892150,0.010658,0.926099
0.920178,0.010658,0.457523
0.887807,0.010264,0.562922
0.891755,0.011054,0.681745
0.894913,0.035923,0.538448
0.914256,0.010659,0.449233
0.990050,0.010659,0.456338
0.882280,0.010659,0.606346
0.879912,0.018159,0.665954
0.888597,0.010659,0.460286
0.884254,0.010659,0.473708
0.874386,0.015790,1.482706
0.910308,0.010658,0.450022
0.875570,0.011448,0.494630
1.060316,0.010659,0.471339
0.872412,0.023686,0.466207
0.915441,0.011448,0.457522
1.031499,0.010658,0.455154
0.873991,0.010659,0.578319
0.867675,0.011053,0.665165
0.881491,0.011448,0.447654
0.875965,0.010658,0.457129
1.348094,0.011053,0.505288
1.726270,0.011054,0.478840
0.980180,0.023290,0.707009
0.937546,0.011053,0.482392
1.494153,0.010658,0.592135
0.926493,0.011054,0.557396
0.885834,0.010659,0.471734
0.921756,0.016580,0.484367
0.909519,0.023685,1.650477
0.962812,0.023686,0.450417
0.920967,0.016580,0.701482
0.894518,0.011054,0.457523
1.286512,0.011053,0.478050
0.988076,0.010658,0.458707
1.582974,0.011448,0.466997
